"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
-0.8413	0.6634	0.4918	0.4671	8.2999	0.5543	5.0742	-0.8303	0.1242	-2.758	-4.7847	1.4891	-0.7545
0.4139	-0.2674	-0.3211	-0.2013	-1.2276	3.3542	-1.3592	0.0534	-1.7072	-1.2762	-0.888	-0.5181	-0.5571
-0.5509	1.3417	1.5302	0.2769	-1.691	3.7163	-2.0577	-0.2692	-1.5704	-1.0897	-1.8918	-0.953	-1.3117
0.1166	0.2346	0.5455	0.2655	-5.1601	-9.933	-0.0906	-3.0983	5.2491	4.7697	9.3064	3.411	3.4737
-0.7207	0.8099	0.8662	0.0109	-1.1632	2.9285	-1.8101	-0.5604	-1.3492	-1.1625	-1.4959	-1.3556	-1.6011
-0.622	1.4633	1.3231	0.1416	-0.7853	3.3061	-2.1048	-0.9563	-1.8256	-1.5028	-2.2137	-0.6067	-2.1273
0.6594	1.0627	0.9384	0.4582	5.3667	-0.0374	3.2728	0.6793	1.2194	0.7373	-5.6071	1.3954	-2.4593
0.8679	-0.3685	-0.4269	-0.4055	-2.6302	-1.9246	-0.104	-2.5372	2.3407	0.572	-0.0072	1.1709	-0.7342
0.3677	1.8959	2.1299	0.9364	-2.6689	6.411	-0.1734	-0.4768	-2.0924	-2.2432	-4.029	1.95	2.6887
-0.1958	0.0898	0.0823	1.205	-17.6303	12.6114	-8.5746	-5.1708	-7.9039	-2.7123	2.8587	1.1412	7.2692
-0.7388	-0.2571	0.107	0.5311	-2.748	4.8829	-0.0002	-0.6986	-1.8233	-3.074	-2.2711	-0.5253	2.9337
-17.0417	-2.3557	0.3512	6.2805	-0.832	10.1749	12.1588	-3.6327	-7.099	-6.3635	-18.1304	-18.6925	20.1154
1.6832	0.1023	-0.1231	2.6584	-0.6968	5.2335	-0.6605	-3.4963	-0.4373	-3.6413	-3.7903	6.1475	-2.9863
-0.5493	0.7874	0.5931	0.1118	-0.6176	3.13	-1.9585	-1.1052	-1.9586	-1.839	-1.9338	-0.7104	-2.0617
-1.0107	0.1202	-0.045	-0.7289	-0.5008	2.1957	-1.8921	-0.8282	-1.6958	-1.465	-1.1365	-2.642	-2.0949
-0.5231	0.2193	0.0671	-0.4491	-0.5884	2.7083	-1.6361	-0.6366	-1.6789	-1.3777	-1.488	-1.7407	-1.7696
0.3697	-0.2638	-0.647	0.347	-0.5675	5.0203	0.4533	-1.3399	-2.8498	-3.8445	-3.2617	1.5739	2.2597
0.5811	-1.3049	-1.3566	0.71	4.9353	-1.77	3.6981	1.6518	0.7698	1.7711	-0.4526	1.006	1.23
-0.6066	-0.1408	-0.0683	-1.0008	-0.7803	1.289	-1.0183	2.0437	-0.6923	0.541	0.9556	-3.6425	0.8925
0.5191	-1.0598	-1.1014	-0.3306	1.7932	-0.1959	0.2836	1.4672	0.3539	0.5079	-1.4036	-1.0882	-2.6507
0.7616	-0.6279	-0.5224	-0.1388	1.3449	0.1031	0.1834	1.6437	0.5166	0.8706	-1.4587	-0.5547	-2.4927
1.2998	0.3261	0.1345	-1.3037	1.7072	3.7533	0.241	2.5011	-2.12	-1.5956	-1.0353	0.1684	0.8102
0.923	-0.3965	-0.2073	-0.0463	1.238	0.5714	0.4797	1.8847	0.5362	1.2211	-1.8298	-0.4253	-2.0715
0.7558	-0.6158	-0.4817	0.1624	1.333	0.521	0.2899	1.671	0.4205	0.7782	-1.7527	-0.3598	-2.3371
1.9363	0.7248	0.2401	2.211	-8.0613	27.5586	-6.9268	-2.8024	-15.957	-8.1767	-9.8911	1.6803	1.1916
2.0867	0.1124	-0.5163	1.8029	-7.7578	27.39	-6.7887	-2.8789	-16.1579	-8.3955	-9.6785	1.401	1.229
-0.8978	1.4305	1.4452	3.8962	11.4249	-4.4606	0.1109	4.4364	1.4645	-9.8574	-1.7321	5.4673	-8.3953
1.5827	-0.598	-0.5424	-0.741	1.2293	0.775	0.5643	2.3605	0.4625	1.9461	-1.7957	-0.6139	-1.9064
-0.2056	-0.6808	-0.7407	-1.1001	-0.3094	0.7413	-0.7397	2.0882	-0.6665	0.5499	1.4539	-3.2011	0.9057
0.5379	-0.877	-1.1195	-0.3601	2.3049	-0.0869	0.1237	1.1486	-0.0763	0.154	-1.8148	-0.8081	-3.1252
-0.2251	-0.858	-0.8293	-0.1168	1.7492	-0.4596	-0.1117	1.1125	0.291	0.0513	-1.4988	-1.5987	-3.2233
-1.1201	-0.091	-0.1483	-0.7509	2.8656	1.4182	1.5189	0.4418	-1.3031	-0.6819	-2.3361	-2.5266	-0.0205
-1.316	0.4043	0.4601	-0.6062	2.5078	1.6114	1.3295	0.4268	-1.1974	-0.443	-2.6482	-2.5525	-0.1045
-0.2757	1.6848	1.4586	0.3908	0.1228	0.9807	-4.8922	2.346	-3.4377	-0.9776	3.8413	1.0533	-1.5703
-0.7779	-1.9414	0.2302	-1.6978	-9.7221	7.1071	-0.2884	1.5835	3.1045	3.2845	-4.2335	-11.8171	-0.9971
-0.84	-1.6714	0.5047	-1.5789	-9.8926	7.2913	-0.4571	1.3824	3.0637	3.1869	-4.4106	-11.6026	-1.0746
0.7508	0.3283	0.457	0.1921	1.3423	0.8104	0.1671	1.578	0.3646	1.1342	-2.47	0.0306	-2.5649
-0.708	0.9938	0.8397	0.5266	-2.8017	1.2373	-1.4188	-7.7011	1.8993	1.5432	-3.4554	-0.4835	-6.5147
1.1217	-0.683	-0.9059	-0.2575	2.0949	3.6833	0.5589	1.8595	-2.4073	-3.2678	-0.7016	1.3593	1.0573
0.4805	-0.7922	-0.6307	-0.3732	1.2808	0.0107	0.3036	1.8092	0.6489	1.1057	-1.5617	-1.4307	-2.4555
1.0218	0.2743	0.4791	0.4096	0.9145	1.0842	0.0344	1.7925	0.4168	0.9903	-2.229	0.54	-2.3243
0.3122	0.5787	0.5942	-0.7421	-4.5127	-10.0119	-0.175	-3.157	5.0587	5.4494	8.5931	2.6178	2.6722
0.5531	0.3247	0.4276	-0.9856	-4.6585	-10.0185	0.058	-2.6799	5.2484	5.8785	8.9423	2.3631	3.1016
0.43	-0.2266	-0.1184	-1.2081	-4.659	-10.5394	0.1106	-2.6331	5.3806	5.8557	9.4019	1.7718	3.133
0.6525	-1.2987	-1.1499	-1.1419	1.4064	-0.4373	0.5016	2.2776	0.8143	1.6631	-1.1039	-2.4646	-2.2806
0.2084	0.2369	0.2919	-0.0913	-6.2343	-3.2904	-5.2298	2.1484	1.8975	-8.1914	5.4221	1.4658	1.2547
-1.1869	1.0472	1.1387	0.0081	-6.6093	-3.9653	-6.0583	1.1408	2.0952	-8.6172	5.0318	0.2854	0.0667
0.6442	0.8239	0.8771	0.8238	-1.9914	6.0141	0.2647	-0.7164	-2.3519	-2.8878	-3.5887	2.2844	2.879
0.4201	0.8823	1.0413	1.5036	-2.2742	6.1143	0.1729	-0.9643	-2.2831	-3.4844	-3.612	2.9279	2.907
-0.2781	1.0323	0.9933	-0.5194	-1.1393	3.3698	-1.8784	-0.263	-1.6245	-0.7436	-1.8083	-1.4725	-1.4149
1.1456	-0.5457	-0.5939	0.3779	2.2114	2.5731	2.1468	1.5405	-0.5903	0.13	-1.5325	0.6171	1.4387
0.3234	-0.5682	-0.4669	0.3552	1.9205	2.0323	1.8789	1.3691	-0.3367	0.0151	-1.2545	-0.5472	1.1117
0.475	-1.0634	-1.1248	0.581	2.3499	1.9209	2.0357	1.1036	-0.56	-0.6279	-1.0724	0.0318	1.1419
0.3808	-1.6348	-1.8442	-0.5769	2.9647	1.1131	2.2548	1.2734	-0.5376	0.023	-0.7166	-1.6402	0.9021
