"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
0.1002	0.2427	0.0922	0.0983	1.4383	3.0137	1.1952	1.5257	1.9243	1.5614	1.5859	1.4419	1.4721
0.0987	0.2354	0.0943	0.4466	1.7433	2.938	1.1797	1.5448	2.3028	1.557	1.6135	1.807	1.9164
0.0961	0.0926	0.2261	0.092	1.5651	3.0177	1.0456	1.4767	2.1286	1.635	1.5643	1.4118	1.3545
0.0974	0.0944	0.1046	0.3955	1.6685	3.1305	1.1251	1.6382	2.1458	1.5011	1.4815	1.8067	2.0053
0.473	0.0896	0.0894	0.0979	1.612	3.0504	1.1543	1.5911	2.1805	1.3314	1.4387	1.8143	1.9368
0.1032	0.2452	0.1004	0.0945	1.7398	3.0424	1.1229	1.541	2.1204	1.6605	1.6698	1.4136	1.5274
0.0945	0.0979	0.2301	0.0994	1.6342	2.7268	0.9874	1.4146	2.1971	1.5356	1.4408	1.3538	1.5466
0.0988	0.5153	0.5069	0.0994	1.7064	2.6791	1.1155	1.4096	2.3102	1.7141	1.5356	1.539	1.6944
0.0961	0.0989	0.2213	0.0938	1.4874	2.4936	0.9813	1.354	2.2254	1.5051	1.4912	1.4573	1.416
0.0966	0.2393	0.0979	0.0957	1.9147	2.9253	1.1332	1.4904	2.2907	1.6856	1.6695	1.6047	1.7401
0.0993	0.5048	0.4891	0.1007	1.8323	2.9409	1.1487	1.4089	2.2466	1.6669	1.6579	1.5048	1.6361
0.5983	0.0915	0.0926	0.0945	1.6704	2.2385	1.9021	1.4287	1.8736	2.0009	2.175	1.0881	2.4915
2.1195	0.0948	1.159	0.0972	8.691	5.7652	7.0396	4.7165	3.2151	4.9529	9.7083	4.8665	7.2471
0.6323	0.0894	0.0976	0.5561	1.7163	2.4345	1.7341	1.1517	1.5859	1.7651	1.8871	1.5571	2.299
0.0984	0.0922	0.2714	0.439	1.6097	2.5168	1.6586	1.0931	1.8499	1.691	1.7927	1.4788	1.9024
0.4935	0.2672	0.0972	0.0963	1.6117	2.4798	1.7836	1.0235	1.814	1.7095	1.9042	1.4274	1.949
0.0975	0.2493	0.0916	0.0948	1.6119	2.622	1.5383	1.0405	1.8011	1.6533	1.9789	1.3381	1.7851
0.457	0.0916	0.0861	0.1033	5.3681	7.2739	5.7456	2.566	5.6719	5.7978	5.8748	2.8215	2.4893
0.0943	0.5181	0.5211	0.0989	5.3877	7.2597	5.724	2.5233	5.6625	5.6775	5.9006	2.7363	2.3951
0.0977	0.0992	0.3091	0.0956	3.3427	1.9313	3.64	2.0265	2.5576	2.5852	5.2509	1.6007	3.5871
0.0988	0.1008	0.0945	0.5626	12.0446	5.7751	8.534	5.3489	5.6723	3.5527	10.7936	6.0279	3.694
0.6031	0.0992	0.0853	0.0977	2.5148	2.6506	1.7046	1.1798	1.8918	1.5388	2.7732	1.6015	1.9604
0.6089	0.1016	0.2708	0.0897	2.1183	2.8197	1.5238	1.3112	1.9808	1.6018	2.8801	1.5215	2.2862
0.5844	0.0917	0.092	0.0939	2.2895	2.6813	1.5609	1.2102	1.9467	1.4817	2.8991	1.3471	2.0062
0.0925	0.4896	0.5046	0.097	2.8475	4.4374	2.2737	1.6214	1.7948	1.6991	2.272	1.8711	1.7828
0.4814	0.0911	0.0933	0.1025	2.8314	4.282	2.356	1.4793	1.8999	1.7356	2.1679	1.807	1.8703
0.1	0.1017	0.3188	0.5458	4.9128	7.4174	2.6965	3.0899	4.0096	3.3186	2.5495	3.2934	5.8246
0.7141	0.1004	0.0899	0.5282	7.2367	4.534	3.7072	2.9657	1.9086	2.2306	2.6428	2.6124	4.2049
0.0971	0.0978	0.292	0.091	1.8111	2.5596	1.3926	0.9672	1.5693	1.5499	1.7988	1.4797	1.8443
0.5762	0.091	0.0924	0.0936	1.9783	2.619	2.1345	1.0596	1.7497	1.6296	1.7789	1.3077	2.2108
0.1002	0.3335	0.0977	0.0902	2.747	4.6123	2.7567	5.4795	2.9966	4.6592	4.3355	5.659	3.5403
0.0961	0.1011	0.2917	0.5197	1.8405	2.2054	1.7629	1.0648	1.5831	1.6472	1.7363	1.3557	2.2456
0.4956	0.0959	0.0879	0.4884	1.809	2.3801	2.1206	1.1912	1.7575	1.8718	1.9582	1.2817	2.5334
0.1017	0.2846	0.098	0.0994	2.6912	3.6618	1.7845	1.4179	2.9055	1.3372	3.2057	1.4795	3.3636
0.097	0.6133	0.6299	0.0988	2.8547	2.7195	1.853	1.8654	2.2967	1.5126	3.0354	1.2506	2.1623
0.0945	0.0907	0.0938	0.5351	2.8246	3.8976	2.3901	1.4588	1.7917	1.6974	2.0546	1.8335	2.134
0.0966	0.3125	0.0932	0.0949	8.9438	13.3769	3.6334	4.9672	7.8231	2.7701	7.7873	3.6655	5.5046
0.0938	0.0862	0.0888	0.5039	2.7697	3.7742	1.9011	1.4623	2.0642	1.5655	2.0136	2.6523	1.9687
5.8977	1.2095	0.0955	3.9182	15.0345	12.6936	7.4243	5.8394	11.1153	9.5516	12.6738	13.7051	12.5013
0.0983	0.2846	0.0946	0.0962	3.1193	2.1245	1.9735	4.1819	1.6661	2.6036	3.879	1.7933	3.0328
0.5511	0.0991	0.2287	0.095	1.8329	2.2231	1.8767	1.2203	1.7019	1.7214	1.9555	1.3711	2.485
0.0971	0.0936	0.2525	0.1006	1.8795	2.273	1.6666	1.1412	1.6284	1.4765	1.7147	1.4612	2.4688
0.5661	0.0899	0.0904	0.0994	1.7559	2.3721	1.6421	1.0533	1.5065	1.4654	1.7913	1.5251	2.3102
0.6499	0.0857	0.0955	0.0969	2.3986	3.499	2.0498	1.6049	1.8705	1.8714	2.5271	2.3733	2.1346
0.1016	0.0883	0.3134	0.0959	6.6748	5.2361	4.9173	2.5234	3.8424	2.4874	3.6722	1.6684	2.2046
0.6214	0.0943	0.0927	0.0928	2.9359	2.271	1.7825	1.7312	1.3072	2.1692	2.024	1.4683	1.9995
0.0941	0.0856	0.0867	0.5169	1.7588	1.657	1.8028	1.4532	1.1275	1.2197	3.0272	1.718	1.3068
0.0917	0.0947	0.0924	0.5145	1.7094	1.6147	1.6521	1.4887	1.1238	1.1663	2.9514	1.4899	1.267
0.5964	0.3088	0.101	0.0983	1.8579	3.1651	1.3408	1.8916	2.0164	1.3834	1.963	1.7456	1.7112
0.0969	0.6092	0.6057	0.0973	1.7946	1.7623	1.6138	1.3771	1.2412	1.1527	2.7607	1.4021	1.3873
0.5585	0.2697	0.0984	0.0973	1.91	1.6715	1.7746	1.5675	1.2087	1.1649	3.2345	1.623	1.5263
1.8908	0.0967	0.0924	0.1012	8.2164	16.2779	11.953	3.8442	13.4917	10.2922	7.9852	5.993	10.0179
1.8901	0.2816	0.095	0.0944	8.1151	16.4225	11.7019	3.8009	13.5649	10.1658	8.0958	6.1058	9.9663
0.1005	0.1028	0.0953	1.3134	8.4243	5.8848	4.4388	4.6582	3.6461	4.1436	3.9628	5.0243	3.8518
0.097	0.2952	0.1006	0.091	1.9702	2.0746	1.5707	1.5413	1.4059	1.376	2.8974	1.4884	1.5246
0.0929	0.6247	0.6187	0.0943	2.9408	2.1056	1.7382	1.7971	1.2935	2.2935	2.3311	1.6237	2.2088
0.5501	0.092	0.0881	0.5147	1.7599	1.6402	1.7289	1.6307	1.1591	1.1011	3.3899	1.7527	1.4756
0.0961	0.5492	0.5494	0.4916	1.9033	1.5847	1.7863	1.5735	1.1546	1.0867	3.205	1.6854	1.501
0.4932	0.0871	0.0891	0.0995	1.5693	2.8433	1.2757	1.5243	2.0616	1.0079	1.9082	1.5607	1.5162
0.0961	0.2632	0.0958	0.095	1.7681	2.8191	1.2535	1.505	2.1841	1.0464	2.0273	1.4089	1.6085
0.096	0.0992	0.3145	0.517	3.3564	1.9379	4.2107	1.9752	2.4928	2.5266	5.2325	1.8543	3.7797
0.5531	0.0988	1.0913	0.0948	8.921	5.6638	4.8068	6.3327	4.5523	4.8261	7.8411	5.3012	7.4979
0.0954	0.5728	1.2727	0.5874	8.9044	5.738	4.8413	6.2623	4.5409	4.9122	7.8942	5.0559	7.208
0.6123	0.0919	0.0973	0.4695	1.5428	1.8123	1.4783	1.4482	1.2253	1.0986	2.9117	1.3913	1.2549
0.0972	0.0953	0.3133	0.0963	3.5119	2.3646	3.2505	3.8497	1.4596	2.2289	3.9178	2.6059	7.5702
0.0983	0.2963	0.0916	0.0913	2.1568	2.6432	1.5958	1.7249	2.2863	1.6714	2.0332	1.7699	2.0797
0.1013	0.277	0.0988	0.0944	1.9308	1.7668	1.859	1.4726	1.197	1.2595	3.111	1.6271	1.3505
0.0965	0.2738	0.0939	0.0992	1.8767	1.6862	1.4626	1.5453	1.146	1.0298	3.0321	1.1211	1.5323
0.0986	0.0945	0.0893	0.4332	2.6548	4.2338	2.5875	5.354	2.9721	4.881	4.1008	5.6275	2.865
0.1001	0.2514	0.0927	0.0967	2.7022	4.1872	2.7213	5.1765	3.1826	5.1894	4.295	5.4438	3.1006
0.547	0.0954	0.0899	0.1004	2.5246	4.2794	2.6706	5.1165	3.1339	5.112	4.3087	5.3076	3.1357
0.0956	0.0887	0.2907	0.0968	2.0802	1.8109	1.8977	1.6302	1.2394	1.4598	2.7856	2.0219	1.3135
0.0974	0.0976	0.0936	0.4709	3.5137	2.8103	2.9226	3.4227	3.3624	3.275	4.0584	3.7876	3.1951
0.098	0.0933	0.2909	0.0943	4.1282	2.856	3.0532	2.9994	3.1672	3.2388	3.9483	3.3259	2.6252
0.0986	0.5684	0.587	0.5424	2.7838	3.7751	2.1792	1.5269	1.9595	2.0731	2.2513	1.7552	2.0896
0.5096	0.286	0.0969	0.1005	2.6932	3.6746	2.2143	1.6151	2.0171	2.0715	2.3825	1.6165	2.0473
0.6194	0.2685	0.0977	0.0943	1.9198	2.8548	2.0295	1.1227	1.58	1.4338	1.8124	1.4294	2.4067
0.0999	0.0925	0.096	0.413	2.374	2.1563	2.1117	1.4423	1.3988	1.6086	3.1206	1.2152	1.8887
0.5102	0.0905	0.0896	0.096	2.3379	2.1839	2.0172	1.2975	1.5008	1.5398	3.0254	1.3054	1.8176
0.0951	0.2371	0.0915	0.1005	2.5664	2.0451	2.2599	1.3135	1.5348	1.669	3.4893	1.3634	2.0568
0.096	0.2788	0.1017	0.096	2.7418	2.1689	2.5136	1.4434	1.6236	1.4785	3.2215	1.547	2.1918
0.0995	0.1024	0.2561	0.0892	2.4729	2.0775	2.092	1.3494	1.55	1.6399	3.2248	1.1712	1.9648
0.4778	0.1039	0.2563	0.097	2.6425	2.0691	2.0048	1.2912	1.6246	1.898	3.3204	1.2884	1.8769
0.0971	0.0971	0.2584	0.4382	2.6626	1.9952	2.4335	1.4144	1.5669	1.4979	3.3282	1.555	2.2385
0.0954	0.0944	0.2865	0.101	3.6385	3.706	2.5486	2.3884	2.3008	1.8792	6.5008	1.5456	2.3518
0.5251	0.0897	0.0987	0.0975	3.58	3.8104	2.5932	2.5266	2.2263	1.7485	6.3732	1.7957	2.3574
0.097	0.2795	0.1018	0.0929	1.5609	2.6151	1.2696	1.0502	1.3296	1.4002	1.997	1.9372	1.9511
0.5948	0.0909	0.0912	0.0966	3.9152	2.7055	2.5599	3.0571	1.5063	1.6678	3.0118	1.3941	3.2256
0.0966	0.0971	0.309	0.5102	2.8824	3.7587	2.4535	1.5894	1.8721	1.8416	2.1828	1.7181	2.1632
0.6531	0.0919	0.0933	0.0967	3.3644	2.5762	2.3245	3.5737	1.4284	2.0937	3.332	1.6462	3.13
4.3761	0.0934	0.0956	0.0965	19.7991	11.8437	7.1299	10.8225	6.4237	8.7318	14.2672	7.2707	5.7781
0.0972	0.0945	0.3041	0.0958	4.7428	7.297	3.1367	3.2601	4.305	3.083	2.5781	2.3262	6.4834
0.6659	0.6037	0.6109	0.0954	2.5973	3.8594	2.9776	3.7388	1.9789	2.634	6.4089	2.5434	3.1136
0.0969	0.6351	0.6343	0.1038	2.8651	1.8724	4.2155	1.5883	1.4569	1.6317	6.7469	2.8862	2.0846
0.0971	0.0928	0.0953	0.4536	6.2667	5.4846	4.6731	2.4863	4.0071	2.8728	3.1143	1.6765	2.0902
0.5186	0.0955	0.0948	0.0972	6.2508	5.1902	4.8723	2.7875	3.8814	2.9404	3.0086	1.7139	2.1176
0.096	0.239	0.1014	0.0988	6.6762	5.5751	5.1001	2.5449	3.9875	2.7958	3.2527	1.6781	2.1908
0.0937	0.526	0.5339	0.098	6.3013	5.3414	4.7453	2.899	4.0179	2.9668	2.9544	1.6619	2.0551
0.0982	0.0892	0.0917	0.4568	6.4316	5.24	5.0175	2.7751	3.8863	2.9191	2.992	1.5794	2.0882
0.1022	0.2419	0.1009	0.0964	6.7151	5.4587	5.2538	2.8271	4.0196	2.9472	3.4238	1.6805	2.2161
0.0957	0.2892	0.1021	0.1004	3.1894	2.0762	4.8421	1.7896	1.7774	1.8495	6.7272	3.0954	1.9047
0.0933	0.2929	0.0975	0.0943	2.8185	2.0957	4.313	1.5117	1.548	1.7218	6.711	2.843	1.813
