"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
0.0252	-1.478	0.853	1.0838	0.0182
0.4353	-0.8053	0.6006	0.9804	-0.6845
0.2734	-0.7515	1.8359	2.071	0.0867
0.6629	0.1962	0.7326	0.8812	-0.2848
-2.1233	0.6627	-2.5154	-2.8449	-1.8006
-1.0546	0.7772	-2.1959	-2.4415	-1.9758
0.0712	-1.4611	0.9139	1.0439	0.2103
3.4117	1.2587	0.4174	-0.0723	-0.9837
1.8789	2.2473	0.6517	-0.171	-1.2017
-0.3043	-1.9917	-1.4712	-1.4488	0.8507
0.1847	-1.5369	0.8467	1.3567	0.7599
0.5129	0.629	0.7478	0.8618	0.9019
0.7446	-0.1708	1.6214	1.1183	2.0123
-0.6475	-0.2284	-0.8002	-0.8245	-0.5595
-0.3179	0.1836	0.4427	0.5261	0.5224
0.1641	0.195	0.496	0.1808	0.202
-5.6169	-1.3755	-1.539	-1.7136	-2.0581
-0.2905	-0.2036	0.909	0.7144	0.3278
-0.4761	-0.9676	-0.1323	0.1865	0.4371
-0.2339	1.9119	0.1029	-0.1212	-0.2067
0.2803	-1.0867	0.1617	0.472	2.1211
-1.3511	-0.8245	-2.1629	-2.1222	0.1554
0.5992	-0.2932	1.5573	1.5239	-0.6242
0.0869	-0.2985	-0.3629	-0.5128	-0.6983
0.3715	-0.2303	1.1925	1.1617	-1.0959
-0.2863	0.3356	-0.2993	-0.1969	-0.1756
-1.3267	-2.1314	-1.8691	-1.987	-1.8689
-1.4781	-3.2528	-1.7525	-1.6705	-1.5711
-2.0203	-2.3908	-2.0226	-2.092	-1.7643
-0.8595	-1.4111	-1.5259	-1.707	-2.1794
0.3976	-0.0134	-0.6421	-0.4823	-0.6074
-0.0289	-1.2741	0.751	0.9384	-0.1228
-0.4961	-2.0648	-0.4953	-0.2784	-0.6064
0.2409	-0.6654	0.7153	0.8737	0.4969
0.6688	0.2904	0.872	0.9895	0.4248
0.1671	0.5045	0.3072	0.3858	0.2888
0.2588	1.0248	0.0569	0.0625	0.0518
