"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1988",179,"Tradescantia fluminensis","","Tradescantia",2,"Tradescantia fluminensis","Vell.","Tradescantia",2,"kew-270276",1,FALSE,0.8,0,NA,NA,NA,NA,"Commelinaceae",NA,"Tradescantia fluminensis",NA
"1965",180,"Theligonum cynocrambe","","Theligonum",2,"Theligonum cynocrambe","L.","Theligonum",2,"kew-203654",1,FALSE,0.8,0,NA,NA,NA,NA,"Rubiaceae",NA,"Theligonum cynocrambe",NA
"226",181,"Asplenium ceterach","","Asplenium",2,"Asplenium ceterach","L.","Asplenium",2,"tro-26610399",1,FALSE,0.8,0,NA,"Ceterach officinarum","Willd.","tro-26608658","Aspleniaceae",NA,"Ceterach officinarum",NA
"1058",182,"Ipheion uniflorum","","Ipheion",2,"Ipheion uniflorum","Raf.","Ipheion",2,"tro-18401194",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaryllidaceae",NA,"Ipheion uniflorum",NA
"1823",183,"Selaginella denticulata","","Selaginella",2,"Selaginella denticulata","Spring","Selaginella",2,"tro-26615396",1,FALSE,0.8,0,NA,"Selaginella kraussiana","(Kunze) A. Braun","tro-26602878","Selaginellaceae",NA,"Selaginella kraussiana",NA
"1588",184,"Potentilla reptans","","Potentilla",2,"Potentilla reptans","L.","Potentilla",2,"rjp-527",1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Potentilla reptans","Multiple results"
"2016",185,"Trifolium repens","","Trifolium",2,"Trifolium repens","L.","Trifolium",2,"ild-8135",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Trifolium repens",NA
"591",186,"Crassula tillaea","","Crassula",2,"Crassula tillaea","Lest.-Garl.","Crassula",2,"kew-2742223",1,FALSE,0.8,0,NA,NA,NA,NA,"Crassulaceae",NA,"Crassula tillaea",NA
"2089",187,"Veronica persica","","Veronica",2,"Veronica persica","Poir.","Veronica",2,"kew-2463021",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica persica",NA
"114",188,"Amaranthus hybridus","","Amaranthus",2,"Amaranthus hybridus","L.","Amaranthus",2,"kew-2632871",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Amaranthus hybridus","Multiple results"
"1646",189,"Quercus suber","","Quercus",2,"Quercus suber","L.","Quercus",2,"kew-175312",1,FALSE,0.8,0,NA,NA,NA,NA,"Fagaceae",NA,"Quercus suber",NA
"2013",190,"Trifolium nigrescens","","Trifolium",2,"Trifolium nigrescens","Viv.","Trifolium",2,"ild-8110",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Trifolium nigrescens",NA
"945",191,"Geranium purpureum","","Geranium",2,"Geranium purpureum","Vill.","Geranium",2,"kew-2823884",1,FALSE,0.8,0,NA,NA,NA,NA,"Geraniaceae",NA,"Geranium purpureum",NA
"470",192,"Celtis australis","","Celtis",2,"Celtis australis","L.","Celtis",2,"kew-2708167",1,FALSE,0.8,0,NA,NA,NA,NA,"Cannabaceae",NA,"Celtis australis",NA
"1102",193,"Kindbergia praelonga","","Kindbergia",2,"Kindbergia praelonga","(Hedw.) Ochyra","Kindbergia",2,"tro-35100136",1,FALSE,0.8,0,NA,NA,NA,NA,"Brachytheciaceae",NA,"Kindbergia praelonga",NA
"1780",194,"Salvia verbenaca","","Salvia",2,"Salvia verbenaca","L.","Salvia",2,"kew-184123",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Salvia verbenaca",NA
"1753",195,"Ruta chalepensis","","Ruta",2,"Ruta chalepensis","L.","Ruta",2,"kew-2527496",1,FALSE,0.8,0,NA,NA,NA,NA,"Rutaceae",NA,"Ruta chalepensis",NA
"1477",196,"Petrosedum rupestre","","Petrosedum",2,"Petrosedum rupestre","(L.) P.V.Heath","Petrosedum",2,"kew-2411224",1,FALSE,0.8,0,NA,"Sedum rupestre","L.","kew-2489552","Crassulaceae",NA,"Sedum rupestre",NA
"836",197,"Euphorbia spinosa","","Euphorbia",2,"Euphorbia spinosa","L.","Euphorbia",2,"kew-82280",1,FALSE,0.8,0,NA,NA,NA,NA,"Euphorbiaceae",NA,"Euphorbia spinosa",NA
"225",198,"Asphodelus fistulosus","","Asphodelus",2,"Asphodelus fistulosus","L.","Asphodelus",2,"kew-275522",1,FALSE,0.8,0,NA,NA,NA,NA,"Xanthorrhoeaceae",NA,"Asphodelus fistulosus",NA
"1371",199,"Ophrys arachnitiformis","","Ophrys",2,"Ophrys arachnitiformis","Gren. & Philippi","Ophrys",2,"tro-50016587",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Ophrys arachnitiformis",NA
"223",200,"Asparagus acutifolius","","Asparagus",2,"Asparagus acutifolius","L.","Asparagus",2,"kew-274916",1,FALSE,0.8,0,NA,NA,NA,NA,"Asparagaceae",NA,"Asparagus acutifolius",NA
"580",201,"Cortaderia selloana","","Cortaderia",2,"Cortaderia selloana","(Schult. & Schult.f.) Asch. & Graebn.","Cortaderia",2,"kew-405805",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Cortaderia selloana",NA
"1334",202,"Nelumbo nucifera","","Nelumbo",2,"Nelumbo nucifera","Gaertn.","Nelumbo",2,"kew-2384945",1,FALSE,0.8,0,NA,NA,NA,NA,"Nelumbonaceae",NA,"Nelumbo nucifera",NA
"1532",203,"Plumbago auriculata","","Plumbago",2,"Plumbago auriculata","Lam.","Plumbago",2,"kew-2570524",1,FALSE,0.8,0,NA,NA,NA,NA,"Plumbaginaceae",NA,"Plumbago auriculata",NA
"191",204,"Arbutus unedo","","Arbutus",2,"Arbutus unedo","L.","Arbutus",2,"kew-2646748",1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Arbutus unedo",NA
"676",205,"Daphne gnidium","","Daphne",2,"Daphne gnidium","L.","Daphne",2,"kew-2756985",1,FALSE,0.8,0,NA,NA,NA,NA,"Thymelaeaceae",NA,"Daphne gnidium",NA
"829",206,"Euphorbia paralias","","Euphorbia",2,"Euphorbia paralias","L.","Euphorbia",2,"kew-81334",1,FALSE,0.8,0,NA,NA,NA,NA,"Euphorbiaceae",NA,"Euphorbia paralias",NA
"1080",207,"Juglans regia","","Juglans",2,"Juglans regia","L.","Juglans",2,"kew-2331747",1,FALSE,0.8,0,NA,NA,NA,NA,"Juglandaceae",NA,"Juglans regia",NA
"1521",208,"Pittosporum tobira","","Pittosporum",2,"Pittosporum tobira","(Thunb.) W.T.Aiton","Pittosporum",2,"kew-2571780",1,FALSE,0.8,0,NA,NA,NA,NA,"Pittosporaceae",NA,"Pittosporum tobira",NA
"1366",209,"Ononis spinosa","","Ononis",2,"Ononis spinosa","L.","Ononis",2,"ild-29429",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Ononis spinosa",NA
"468",210,"Cedrus deodara","","Cedrus",2,"Cedrus deodara","(Roxb. ex D.Don) G.Don","Cedrus",2,"kew-2707322",1,FALSE,0.8,0,NA,NA,NA,NA,"Pinaceae",NA,"Cedrus deodara",NA
"190",211,"Araujia sericifera","","Araujia",2,"Araujia sericifera","Brot.","Araujia",2,"kew-2646641",1,FALSE,0.8,0,NA,NA,NA,NA,"Apocynaceae",NA,"Araujia sericifera",NA
"895",212,"Galatella linosyris","","Galatella",2,"Galatella linosyris","(L.) Rchb.f.","Galatella",2,"gcc-138505",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Galatella linosyris",NA
"1243",213,"Maclura pomifera","","Maclura",2,"Maclura pomifera","(Raf.) C.K.Schneid.","Maclura",2,"kew-2501306",1,FALSE,0.8,0,NA,NA,NA,NA,"Moraceae",NA,"Maclura pomifera",NA
"7",214,"Acer negundo","","Acer",2,"Acer negundo","L.","Acer",2,"kew-2616024",1,FALSE,0.8,0,NA,NA,NA,NA,"Sapindaceae",NA,"Acer negundo",NA
"1268",215,"Medicago sativa","","Medicago",2,"Medicago sativa","L.","Medicago",2,"ild-8536",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Medicago sativa",NA
"859",216,"Ficus carica","","Ficus",2,"Ficus carica","L.","Ficus",2,"kew-2809827",1,FALSE,0.8,0,NA,NA,NA,NA,"Moraceae",NA,"Ficus carica",NA
"1324",217,"Nandina domestica","","Nandina",2,"Nandina domestica","Thunb.","Nandina",2,"kew-2380006",1,FALSE,0.8,0,NA,NA,NA,NA,"Berberidaceae",NA,"Nandina domestica",NA
"1519",218,"Pistacia lentiscus","","Pistacia",2,"Pistacia lentiscus","L.","Pistacia",2,"kew-2407564",1,FALSE,0.8,0,NA,NA,NA,NA,"Anacardiaceae",NA,"Pistacia lentiscus",NA
"1952",219,"Taxodium distichum","","Taxodium",2,"Taxodium distichum","(L.) Rich.","Taxodium",2,"kew-2434119",1,FALSE,0.8,0,NA,NA,NA,NA,"Cupressaceae",NA,"Taxodium distichum",NA
"89",220,"Aloe maculata","","Aloe",2,"Aloe maculata","All.","Aloe",2,"kew-309868",1,FALSE,0.8,0,NA,NA,NA,NA,"Xanthorrhoeaceae",NA,"Aloe maculata",NA
"513",221,"Ceratonia siliqua","","Ceratonia",2,"Ceratonia siliqua","L.","Ceratonia",2,"ild-1158",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Ceratonia siliqua",NA
"1751",222,"Ruscus aculeatus","","Ruscus",2,"Ruscus aculeatus","L.","Ruscus",2,"kew-286704",1,FALSE,0.8,0,NA,NA,NA,NA,"Asparagaceae",NA,"Ruscus aculeatus",NA
"271",223,"Beta vulgaris","","Beta",2,"Beta vulgaris","L.","Beta",2,"kew-2675613",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Beta vulgaris",NA
"1294",224,"Mespilus germanica","","Mespilus",2,"Mespilus germanica","L.","Mespilus",2,"rjp-51",1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Mespilus germanica",NA
"1125",225,"Lantana montevidensis","","Lantana",2,"Lantana montevidensis","(Spreng.) Briq.","Lantana",2,"kew-108181",1,FALSE,0.8,0,NA,NA,NA,NA,"Verbenaceae",NA,"Lantana montevidensis",NA
"1136",226,"Lathyrus ochrus","","Lathyrus",2,"Lathyrus ochrus","(L.) DC.","Lathyrus",2,"ild-7771",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Lathyrus ochrus",NA
"1605",227,"Prunus cerasifera","","Prunus",2,"Prunus cerasifera","auct. fl. As. med.","Prunus",2,"rjp-52313",1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Prunus cerasifera","Multiple results"
"1039",228,"Hypericum calycinum","","Hypericum",2,"Hypericum calycinum","L.","Hypericum",2,"kew-2857855",1,FALSE,0.8,0,NA,NA,NA,NA,"Hypericaceae",NA,"Hypericum calycinum",NA
"2145",229,"Ziziphus jujuba","","Ziziphus",2,"Ziziphus jujuba","Mill.","Ziziphus",2,"kew-2470699",1,FALSE,0.8,0,NA,NA,NA,NA,"Rhamnaceae",NA,"Ziziphus jujuba",NA
"1958",230,"Teucrium fruticans","","Teucrium",2,"Teucrium fruticans","L.","Teucrium",2,"kew-202931",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Teucrium fruticans",NA
