"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Hypericum elodes","Hypericum elodes",0.158333333333333,211.07,3.96,106,0.0749333333333333,"Hypericum"
"Hypericum humifusum","Hypericum humifusum",0.09125,274.925,1.4825,42.875,0.0469740741111111,"Hypericum"
"Hypericum montanum","Hypericum montanum",0.35,274,18.03420428,444,0.0645846153846154,"Hypericum"
"Hypericum perforatum","Hypericum perforatum",0.358333333333333,303,8.724819986,147.333333333333,0.118575,"Hypericum"
"Hypericum tetrapterum","Hypericum tetrapterum",0.358333333333333,198.5,6.3595244015,223,0.04194,"Hypericum"
"Hypochaeris glabra","Hypochaeris glabra",0.1725,102.97,12.577366094,406.333333333333,0.623514,"Hypochaeris"
"Iberis umbellata","Iberis umbellata",0.245,149.45,16.665,490.25,1.743,"Iberis"
"Iris pseudacorus","Iris pseudacorus",0.75,180.863333333333,1371.25183233333,20873.75,46.8642111111111,"Iris"
"Isatis tinctoria","Isatis tinctoria",0.65,154.525,98.2175,1459.375,4.319,"Isatis"
"Jasione montana","Jasione montana",0.15,210,0.95,36.5,0.0289604078461538,"Jasione"
"Juncus acutiflorus","Juncus acutiflorus",0.525,220,174.6666667,1200,0.0200111111111111,"Juncus"
"Juncus articulatus","Juncus articulatus",0.325,202.9525,52.2892144725,485.4375,0.0206111111111111,"Juncus"
"Juncus bulbosus","Juncus bulbosus",0.09,228.525,1.58,25.8075,0.0204285714285714,"Juncus"
"Juncus conglomeratus","Juncus conglomeratus",0.72,284.18,490.1,2393,0.0181230769230769,"Juncus"
"Juncus effusus","Juncus effusus",0.9,267.85,575,3514.5,0.0186074074444444,"Juncus"
"Juncus inflexus","Juncus inflexus",0.45,322.41,688.765,2219.25,0.0753834782608696,"Juncus"
"Juncus maritimus","Juncus maritimus",0.65,405.7,433.8,1090,0.03533,"Juncus"
"Juncus subnodulosus","Juncus subnodulosus",0.725,189,507.0784722,2080,0.01532,"Juncus"
"Juncus tenageia","Juncus tenageia",0.115,134.54,0.93,28,0.016,"Juncus"
"Juncus tenuis","Juncus tenuis",0.4075,109.57,14.45,276.5,0.0185,"Juncus"
"Knautia arvensis","Knautia arvensis",0.433333333333333,183.666666666667,140.7851567,2871.33333333333,4.13155757572727,"Knautia"
"Lactuca perennis","Lactuca perennis",0.25,140.22,109.56,2336.33,1.56,"Lactuca"
"Lactuca serriola","Lactuca serriola",0.675,191,397.1180185,5993,0.5437,"Lactuca"
"Lactuca virosa","Lactuca virosa",0.8525,173.58,304.153876116667,7390.7,0.8365,"Lactuca"
"Lamium amplexicaule","Lamium amplexicaule",0.133333333333333,135,8.462668666,167,0.5788,"Lamium"
"Lamium maculatum","Lamium maculatum",0.375,197,47.04573503,1371.44,1.6085333334,"Lamium"
"Lamium purpureum","Lamium purpureum",0.225,139.8,11.3188013666667,537.498,0.7016,"Lamium"
