"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Hypericum humifusum",NA,1.04813503763287,-1.66551684308645,-1.64083929061838,NA,"Hypericum"
"Hypericum montanum",NA,1.03916385635198,-0.400701696413025,-0.403153582000903,-1.31623450686006,"Hypericum"
"Hypericum perforatum",-0.0732875222290808,NA,-0.76826838504424,-0.987240708241176,NA,"Hypericum"
"Hypericum tetrapterum",-0.0732875222290808,NA,NA,-0.767783620927987,NA,"Hypericum"
"Hypochaeris glabra",-0.768829883297981,-1.56600478595657,NA,NA,-0.228102159698787,"Hypochaeris"
"Iberis umbellata",NA,-0.574385418894645,NA,-0.350686620184801,0.26523542157997,"Iberis"
"Iris pseudacorus",0.629431441058744,-0.0665501295683926,1.79185003229922,NA,1.84491037075651,"Iris"
"Isatis tinctoria",0.493284168311577,NA,0.457300528420681,0.226899039163237,0.700708219972431,"Isatis"
"Jasione montana",-0.901800499012899,0.331045695738685,-1.89079718252373,-1.72607370927589,-1.70114001830452,"Jasione"
"Juncus acutiflorus",0.290088082633532,NA,0.748729779986181,NA,NA,"Juncus"
"Juncus articulatus",-0.166181533250523,0.240180481967583,0.138181311952202,-0.355909928372078,-1.86435511815229,"Juncus"
"Juncus bulbosus",NA,NA,NA,NA,-1.86862426109488,"Juncus"
"Juncus conglomeratus",NA,1.1362689842109,1.27101384359904,0.488749389087301,-1.92609201328095,"Juncus"
"Juncus effusus",0.802893610036897,0.978736278383866,1.35188810821443,0.692255945551439,-1.91343518495956,"Juncus"
"Juncus inflexus",NA,1.47224289966145,1.44327634745576,0.448837740355141,NA,"Juncus"
"Juncus maritimus",0.493284168311577,2.0839190120665,1.20924171796539,0.0723796762821899,-1.60573371709535,"Juncus"
"Juncus subnodulosus",NA,NA,1.28825388777665,0.414526488068106,-2.00672884042251,"Juncus"
"Juncus tenageia",NA,-0.854151209621036,-1.90156826170162,-1.86644379216861,-1.9858868137584,"Juncus"
"Juncus tenuis",NA,-1.40063224025322,NA,-0.653924070776201,-1.91621335943977,"Juncus"
"Knautia arvensis",0.107521462385979,-0.0256079907535493,0.639565932510812,NA,NA,"Knautia"
"Lactuca perennis",-0.415796966428953,-0.744079121618777,0.512624445364153,NA,0.2120035156749,"Lactuca"
"Lactuca serriola",NA,NA,1.16451699399439,0.974838370080605,NA,"Lactuca"
"Lactuca virosa",NA,-0.17596214332801,1.0295078047793,1.08583409531733,-0.0870797702230615,"Lactuca"
"Lamium amplexicaule",-1.013860209302,-0.845065569541609,-0.783711823195883,-0.920898473354552,NA,"Lamium"
"Lamium maculatum",-0.0300342605033554,0.160940648037646,0.0846889179611634,NA,0.226706325599065,"Lamium"
"Lamium purpureum",NA,-0.752064234577213,-0.636502265483149,-0.301969102467889,-0.171477198250589,"Lamium"
