"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Hydrocotyle vulgaris",0.2125,123.356,20.26188268,655,NA,"Hydrocotyle"
"Hypericum elodes",NA,211.07,NA,106,0.0749333333333333,"Hypericum"
"Hypericum humifusum",0.09125,NA,1.4825,42.875,0.0469740741111111,"Hypericum"
"Hypericum montanum",0.35,274,18.03420428,444,NA,"Hypericum"
"Hypericum perforatum",0.358333333333333,NA,8.724819986,NA,0.118575,"Hypericum"
"Hypericum tetrapterum",0.358333333333333,198.5,6.3595244015,223,0.04194,"Hypericum"
"Hypochaeris glabra",NA,102.97,12.577366094,406.333333333333,0.623514,"Hypochaeris"
"Iberis umbellata",0.245,149.45,16.665,490.25,1.743,"Iberis"
"Iris pseudacorus",0.75,180.863333333333,1371.25183233333,20873.75,46.8642111111111,"Iris"
"Isatis tinctoria",0.65,NA,98.2175,1459.375,4.319,"Isatis"
"Jasione montana",NA,210,0.95,36.5,0.0289604078461538,"Jasione"
"Juncus acutiflorus",0.525,220,174.6666667,1200,0.0200111111111111,"Juncus"
"Juncus articulatus",0.325,202.9525,52.2892144725,485.4375,0.0206111111111111,"Juncus"
"Juncus bulbosus",0.09,228.525,1.58,25.8075,0.0204285714285714,"Juncus"
"Juncus conglomeratus",0.72,284.18,490.1,2393,0.0181230769230769,"Juncus"
"Juncus effusus",0.9,267.85,575,3514.5,0.0186074074444444,"Juncus"
"Juncus inflexus",0.45,322.41,NA,2219.25,0.0753834782608696,"Juncus"
"Juncus maritimus",0.65,405.7,433.8,1090,0.03533,"Juncus"
"Juncus subnodulosus",0.725,NA,NA,2080,0.01532,"Juncus"
"Juncus tenageia",0.115,134.54,NA,28,0.016,"Juncus"
"Juncus tenuis",0.4075,109.57,14.45,276.5,0.0185,"Juncus"
"Knautia arvensis",0.433333333333333,183.666666666667,140.7851567,2871.33333333333,4.13155757572727,"Knautia"
"Lactuca perennis",0.25,140.22,109.56,2336.33,1.56,"Lactuca"
"Lactuca serriola",0.675,191,397.1180185,5993,0.5437,"Lactuca"
"Lactuca virosa",0.8525,173.58,304.153876116667,NA,0.8365,"Lactuca"
"Lamium amplexicaule",0.133333333333333,135,8.462668666,167,0.5788,"Lamium"
"Lamium maculatum",0.375,197,47.04573503,1371.44,1.6085333334,"Lamium"
"Lamium purpureum",0.225,139.8,11.3188013666667,537.498,0.7016,"Lamium"
"Lapsana communis",NA,127,98.979228535,4966,1.0212,"Lapsana"
"Lathyrus latifolius",2,220,435.7653916,7017,47.254,"Lathyrus"
"Lathyrus nissolia",0.375,201.073333333333,54.45319753,975.116666666667,9.207,"Lathyrus"
"Lathyrus odoratus",0.8,200.565,NA,2480.75,73.804,"Lathyrus"
"Lathyrus pratensis",0.566666666666667,273.666666666667,6.958663343,158.333333333333,12.5195055555833,"Lathyrus"
"Lathyrus vernus",0.255,198.0975,NA,4380,16.258,"Lathyrus"
"Legousia speculum-veneris",0.1725,138.64,1.915,103.75,0.194,"Legousia"
"Leontodon hispidus",0.235,139.748,69.7610738788889,NA,1.11426666664706,"Leontodon"
"Lepidium campestre",0.2925,206.795,17.0929116466667,NA,2.1738,"Lepidium"
"Leucanthemum vulgare",0.364,129.666666666667,27.1214530225,669.666666666667,0.383433333333333,"Leucanthemum"
"Leucojum aestivum",0.475,NA,300,7415,46.3548,"Leucojum"
"Leucojum vernum",0.1,84.97,95.96,3173.75,12.0404,"Leucojum"
"Levisticum officinale",1.2,196,2507.6,67588,1.394,"Levisticum"
"Lilium bulbiferum",0.6,140.52,26.795,461,7.4,"Lilium"
"Linaria vulgaris",0.416666666666667,189.25,5.67828227766667,105.3945,0.174676923076923,"Linaria"
"Linum usitatissimum",NA,NA,0.905,41.5,NA,"Linum"
"Logfia minima",0.125,NA,0.2,6.635,0.025341,"Logfia"
"Lolium multiflorum",0.325,265,26.82177515,NA,2.9086,"Lolium"
"Lolium perenne",0.125,NA,14.5298595333333,402,1.97511111111111,"Lolium"
"Lonicera caprifolium",4.875,250.63,74.6525,1630.125,8.04,"Lonicera"
"Lotus corniculatus",0.429166666666667,186,NA,132,1.4034375,"Lotus"
"Lotus pedunculatus",0.2625,207.813333333333,16.1518002866667,511,4.62866666666667,"Lotus"
"Ludwigia palustris",0.12,205.2325,7.28,258.87,0.045,"Ludwigia"
"Lunaria annua",0.45,114.865,226.565,7897.83333333333,18.933,"Lunaria"
"Luzula campestris",0.27,NA,NA,73,0.676883076923077,"Luzula"
"Luzula pilosa",0.15,228,26.46637744,664,NA,"Luzula"
"Lycopus europaeus",0.566666666666667,NA,29.4,1814.75,0.233163636363636,"Lycopus"
"Lysimachia nummularia",0.45,227.65,NA,284.333333333333,0.5,"Lysimachia"
"Lysimachia punctata",NA,246,129.304382,2841,0.4445,"Lysimachia"
"Lysimachia vulgaris",0.896,NA,95.08408684,2539.25,NA,"Lysimachia"
"Lythrum hyssopifolia",0.311666666666667,218.27,0.49,12.5,NA,"Lythrum"
"Lythrum portula",0.103333333333333,277,1.289932886,31,0.0332,"Lythrum"
"Lythrum salicaria",NA,179.845,51.07559052,1742.375,0.085928,"Lythrum"
"Malus sylvestris",6,248.8,200.25424625,2910.14,23.634,"Malus"
"Malva alcea",0.65,136.21,49.95,1375.5,3.9,"Malva"
"Malva sylvestris",0.575,171.22,341.6,7727.5,NA,"Malva"
"Matthiola incana",0.476666666666667,119.17,26.485,590,2.06,"Matthiola"
"Medicago arabica",NA,189.07,19.0475,675.585,1.8786,"Medicago"
"Medicago lupulina",0.25,196,17.27838062,509.333333333333,1.77992777775,"Medicago"
"Medicago polymorpha",0.3625,224.065,33.205,667.25,2.946,"Medicago"
"Melica ciliata",0.36,506.78,NA,204.03,0.8515135135,"Melica"
"Melilotus officinalis",1.075,237.666666666667,46.8907955283333,607,2.95879473684211,"Melilotus"
"Melittis melissophyllum",0.3,148.295,45.22,2586.75,5.39,"Melittis"
"Mentha aquatica",0.383333333333333,179.62,40.615563575,1722.4375,0.128323809571429,"Mentha"
"Mentha longifolia",NA,194.905,61.885,1777,0.064,"Mentha"
"Mentha pulegium",0.166666666666667,179.3,6.32,198.27,0.077032,"Mentha"
"Mentha suaveolens",0.575,NA,56.8633333333333,1483.75,0.0465,"Mentha"
"Menyanthes trifoliata",NA,193.726666666667,NA,4425.16666666667,2.97472,"Menyanthes"
"Mercurialis annua",0.25,NA,NA,759.855,2.32230909090909,"Mercurialis"
"Mercurialis perennis",0.216666666666667,224.5,83.870610815,1890.5,5.55142857142857,"Mercurialis"
"Mespilus germanica",6.375,325.545,180.385,2747.5,60.83,"Mespilus"
"Misopates orontium",0.343333333333333,134.215,9.86,202.625,0.15686,"Misopates"
"Moehringia trinervia",0.175,179.333333333333,2.397892544,81.3333333333333,0.21,"Moehringia"
"Molinia caerulea",0.7875,369.716666666667,56.85673155,1286.625,0.714553846153846,"Molinia"
"Muscari botryoides",NA,94.33,51.85,1533,3.37,"Muscari"
"Myagrum perfoliatum",0.24,114.64,41.77,1211.5,NA,"Myagrum"
"Myosotis arvensis",0.23,123,28.22270336,759.5,0.2927,"Myosotis"
"Myosotis laxa",0.21125,122.3725,6.86943783916667,326.9375,0.224,"Myosotis"
"Myosotis ramosissima",0.101666666666667,146.666666666667,9.06432748533333,187,0.20185,"Myosotis"
"Myosotis scorpioides",0.278333333333333,142.6375,17.645238216,1086.0625,0.3013,"Myosotis"
"Myosotis sylvatica",0.216666666666667,146,19.72615528,613.333333333333,0.53825,"Myosotis"
"Myriophyllum spicatum",1,240.22,3.8,33.825,NA,"Myriophyllum"
