"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","sbs_name","genus"
"Eleocharis multicaulis",-0.2423347974508,1.12095694267568,-0.283776953840952,-0.903741406790221,-0.253641148381672,"Eleocharis multicaulis","Eleocharis"
"Eleusine indica",-1.2875632049385,0.48531405731813,-0.614140686052418,-0.631888392068407,-0.378253818137895,"Eleusine indica","Eleusine"
"Elymus repens",0.629431441058744,1.0298942586803,0.387914396204187,0.481770682520081,0.413763333477907,"Elymus repens","Elymus"
"Epilobium hirsutum",0.934330933079448,0.305572846375235,0.599767801390035,0.578120006641517,-0.988788003534484,"Epilobium hirsutum","Epilobium"
"Epilobium montanum",-0.0956746232920653,0.565475950856552,0.422852318334036,0.441086870095068,-0.992853059153316,"Epilobium montanum","Epilobium"
"Epilobium parviflorum",0.107521462385979,-0.387272766474732,-0.236999540924319,-0.105485320102038,-1.21705651668771,"Epilobium parviflorum","Epilobium"
"Eragrostis minor",-1.07526266799105,0.65443082664589,-1.30616531046813,-1.10438914198492,-1.14643848053349,"Eragrostis minor","Eragrostis"
"Erodium cicutarium",0.417130904111299,0.21977290200064,0.209482924053864,0.320783071488288,0.163380084508321,"Erodium cicutarium","Erodium"
"Erodium moschatum",0.0890469421514717,-1.21633287597537,1.04782747228059,1.1622091786575,0.00121962370764238,"Erodium moschatum","Erodium"
"Eryngium campestre",-0.303737256139857,0.645219257685169,2.25820224737287,1.86180570098787,0.150261056637082,"Eryngium campestre","Eryngium"
"Eryngium maritimum",-0.216267197030858,-0.822486224776116,1.45712137063902,1.02797377129968,1.53785046490244,"Eryngium maritimum","Eryngium"
"Eupatorium cannabinum",0.903134436695246,0.227658236865973,0.995112806993982,1.01280414938556,-0.533469449211654,"Eupatorium cannabinum","Eupatorium"
"Euphorbia amygdaloides",-0.0492552757916798,1.15363469396471,-0.553139408715291,-0.588695281009683,0.685899380161633,"Euphorbia amygdaloides","Euphorbia"
"Euphorbia dulcis",-0.2423347974508,0.670249266983849,-0.596066927611983,-0.432576881020934,0.359430971642512,"Euphorbia dulcis","Euphorbia"
"Euphorbia esula",0.0890469421514717,0.478187165657637,-1.2548483718966,-1.13420010486848,0.59879655318817,"Euphorbia esula","Euphorbia"
"Euphorbia exigua",-1.12740765702838,0.368803668459986,-1.82900657400841,-1.86644379216861,-0.573628186887462,"Euphorbia exigua","Euphorbia"
"Euphorbia helioscopia",-0.628097503376397,0.156432785071953,-0.571287327525923,-0.387873319024508,0.426670521755137,"Euphorbia helioscopia","Euphorbia"
"Euphorbia palustris",0.879046874237174,1.48336554549573,-0.145100695762697,-0.229788942484034,1.07608777807684,"Euphorbia palustris","Euphorbia"
"Euphorbia peplus",-0.801559672354548,-0.12402557556731,-1.57711710468083,-1.31724093517758,-0.340326966596706,"Euphorbia peplus","Euphorbia"
"Fallopia convolvulus",0.546648129837603,0.201171526341883,0.053821595091972,-0.241375469046244,0.668422966208213,"Fallopia convolvulus","Fallopia"
"Fallopia dumetorum",1.50119767956829,0.390005813728129,0.387695498653027,0.252087066489477,0.585270426609664,"Fallopia dumetorum","Fallopia"
"Filago pyramidata",-0.917790924109624,1.09806002280651,-1.91257351302345,-1.78549939912195,-1.43369084271512,"Filago pyramidata","Filago"
"Filipendula vulgaris",-0.166181533250523,1.23573729308845,0.643205302433473,0.693083909966194,-0.116552705242103,"Filipendula vulgaris","Filipendula"
"Foeniculum vulgare",1.45572926457813,0.624780355445699,1.66266552952953,1.21569674289339,0.476091360481933,"Foeniculum vulgare","Foeniculum"
"Fragaria vesca",-1.21140994073822,1.96517563531596,0.610240347269885,0.48886000919328,1.43329426486786,"Fragaria vesca","Fragaria"
"Frangula alnus",2.18746537594981,0.858286502779569,0.345794377540532,0.00763908293632852,2.31927890830133,"Frangula alnus","Frangula"
"Fumaria officinalis",0.417130904111299,-0.884796045091278,-0.869235141916942,-0.674422752068934,0.540325909561755,"Fumaria officinalis","Fumaria"
"Galanthus nivalis",-0.967440861801609,-1.56833240641148,0.0814967053739229,0.206228470238207,0.888841849771963,"Galanthus nivalis","Galanthus"
