"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","seed_number"
"96","Atriplex prostrata",0.95,144.333333333333,139.77941404,2670.66666666667,2.15622,3050
"97","Avena barbata",0.18,237.666666666667,0.00482,119,7.92272095242857,NA
"98","Avena fatua",0.75,242,320.3024483,5227.5,22.1845,369
"99","Avena sterilis",0.27,192.73,17.32,560.75,59.232,510.75
"100","Avena strigosa",1.54,201.94,69.965,1978,7.44866666666667,1243.5
"101","Azolla filiculoides",0.02,97.95,9.18333333333333,133.81,NA,NA
"102","Baldellia ranunculoides",0.125,139,19.6,427,0.426933333333333,807
"103","Ballota nigra",0.625,222,38.35214076,717,0.85785,46369
"104","Barbarea verna",0.333333333333333,NA,NA,NA,1.051,NA
"105","Barbarea vulgaris",0.525,174,150.325324805,4750.5,0.606666666666667,43553.2777833333
"106","Bellis perennis",0.055,113.5,11.62723288,359,0.14152,17255.0833325
"107","Berula erecta",0.475,96.475,160.63352494,3582.875,0.69945,25000
"108","Beta vulgaris",1.4,167,751.7,18496,20.4113590243902,3
"109","Betula pendula",27,273,NA,1181.1,0.188353846153846,15674.2
"110","Betula pubescens",25,NA,NA,NA,0.219966666666667,2512612.75
"111","Bidens frondosa",0.525,174.6,110.41,4176,8.66097142857143,19676.9166675
"112","Bidens tripartita",0.525,152.16,74.7110556533333,2417.08333333333,2.43494,29670.8333375
"113","Biscutella didyma",NA,NA,NA,NA,1.450666667,NA
"114","Blackstonia perfoliata",0.221666666666667,223.065,18.5374196233333,453.75,0.009,1179
"115","Blechnum spicant",0.325,266,860.8613805,9350,NA,NA
"116","Borago officinalis",0.31,144.74,154.525,3946,15.766,199
"117","Brachypodium distachyon",NA,NA,NA,NA,2.190900901,NA
"118","Brachypodium pinnatum",NA,362.333333333333,83.9923816,1898,2.7332933334,32543.5
"119","Brachypodium sylvaticum",0.825,308.47,20.4262208941667,3886.54545454545,2.78525454545455,2830.625
"120","Brassica napus",0.9625,NA,NA,NA,4.392,180472.3333
"121","Brassica nigra",0.735,128.22,252.94,6916.8,1.32608571428571,3112
"122","Brassica rapa",0.598333333333333,141.396666666667,135.13456938,3315.66666666667,2.1388,4123.66666666667
"123","Briza maxima",NA,NA,NA,NA,1.7375,NA
"124","Briza media",0.165,298.035,26.9652498225,644,0.40112222225,179
"125","Bromus arvensis",0.332,271.46,40.63,1085,2.62566666666667,NA
"126","Bromus commutatus",0.5,221.25,31.3225,920.875,5.2019,NA
"127","Bromus diandrus",NA,289,NA,NA,8.435,NA
"128","Bromus hordeaceus",NA,290.56,10.27175308,314.666666666667,2.27844071428571,NA
