"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg"
"224","Hieracium sabaudum",0.8,112,37.095,1637,0.4701
"225","Hippocrepis comosa",0.163333333333333,233.166666666667,17.024,218.166666666667,3.74848888888889
"226","Holcus lanatus",0.325,230.1775,21.803608515,970.833333333333,0.406916666666667
"227","Holcus mollis",0.275,216,30.11501273,1053.5,0.3484
"228","Hordeum murinum",0.3075,197.183333333333,12.035450072,519.8125,9.2693402598
"229","Hordeum secalinum",0.325,240,14.264796275,473,3.68253846153846
"230","Hordeum vulgare",1.0075,175.29,156.405,2321.83333333333,40.905
"231","Hornungia petraea",0.0616666666666667,143,0.736842105,14,0.0712666666666667
"232","Hottonia palustris",0.4,46.72,1.68,151.17,0.1348
"233","Humulus lupulus",5.5,292.5,436.38856055,7711,4.11258333333333
"234","Hydrocotyle vulgaris",0.2125,123.356,20.26188268,655,0.36
"235","Hypericum elodes",0.158333333333333,211.07,3.96,106,0.0749333333333333
"236","Hypericum humifusum",0.09125,274.925,1.4825,42.875,0.0469740741111111
"237","Hypericum montanum",0.35,274,18.03420428,444,0.0645846153846154
"238","Hypericum perforatum",0.358333333333333,303,8.724819986,147.333333333333,0.118575
"239","Hypericum tetrapterum",0.358333333333333,198.5,6.3595244015,223,0.04194
"240","Hypochaeris glabra",0.1725,102.97,12.577366094,406.333333333333,0.623514
"241","Iberis umbellata",0.245,149.45,16.665,490.25,1.743
"242","Iris pseudacorus",0.75,180.863333333333,1371.25183233333,20873.75,46.8642111111111
"243","Isatis tinctoria",0.65,154.525,98.2175,1459.375,4.319
"244","Jasione montana",0.15,210,0.95,36.5,0.0289604078461538
"245","Juncus acutiflorus",0.525,220,174.6666667,1200,0.0200111111111111
"246","Juncus articulatus",0.325,202.9525,52.2892144725,485.4375,0.0206111111111111
"247","Juncus bulbosus",0.09,228.525,1.58,25.8075,0.0204285714285714
"248","Juncus conglomeratus",0.72,284.18,490.1,2393,0.0181230769230769
"249","Juncus effusus",0.9,267.85,575,3514.5,0.0186074074444444
