"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"346",770,"Calystegia sepium",NA,"Calystegia",2,"Calystegia sepium","(L.) R. Br.","Calystegia",2,"tro-8500113",1,FALSE,0.8,0,NA,NA,NA,NA,"Convolvulaceae",NA,"Calystegia sepium",NA
"322",772,"Buddleja davidii",NA,"Buddleja",2,"Buddleja davidii","Franch.","Buddleja",2,"kew-2685390",1,FALSE,0.8,0,NA,NA,NA,NA,"Scrophulariaceae",NA,"Buddleja davidii",NA
"236",783,"Astragalus glycyphyllos",NA,"Astragalus",2,"Astragalus glycyphyllos","L.","Astragalus",2,"ild-8631",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Astragalus glycyphyllos",NA
"1815",784,"Sedum album",NA,"Sedum",2,"Sedum album","L.","Sedum",2,"kew-2484837",1,FALSE,0.8,0,NA,NA,NA,NA,"Crassulaceae",NA,"Sedum album",NA
"1827",788,"Senecio inaequidens",NA,"Senecio",2,"Senecio inaequidens","DC.","Senecio",2,"gcc-21160",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Senecio inaequidens",NA
"157",792,"Angelica sylvestris",NA,"Angelica",2,"Angelica sylvestris","L.","Angelica",2,"kew-2639281",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Angelica sylvestris",NA
"1284",797,"Mentha aquatica",NA,"Mentha",2,"Mentha aquatica","L.","Mentha",2,"kew-124366",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Mentha aquatica",NA
"661",799,"Cyperus longus",NA,"Cyperus",2,"Cyperus longus","L.","Cyperus",2,"kew-237327",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Cyperus longus",NA
"1229",800,"Lycopus europaeus",NA,"Lycopus",2,"Lycopus europaeus","L.","Lycopus",2,"kew-115904",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Lycopus europaeus",NA
"1257",803,"Matthiola incana",NA,"Matthiola",2,"Matthiola incana","(L.) R.Br.","Matthiola",2,"kew-2359115",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Matthiola incana",NA
